COUNTRY,POPULATION,enet_HG_log_raw_model_pred,enet_HG_log_raw_index_0_100
Cuba,"10,937,203",2.817035003125264,22.056577939469413
Cyprus,"1,370,754",4.003734358265175,34.45324630462302
Czech Republic,"10,609,239",5.165193393253317,46.58624563094506
Denmark,"6,002,507",7.192778566757767,67.76709558183566
Djibouti,"1,184,076",1.4907989889022395,8.202261788511697
Dominican Republic,"11,520,487",1.9702373176932932,13.210638963255711
Ecuador,"18,289,896",2.9828476619333397,23.788713828045623
Egypt,"118,365,995",4.217257443533153,36.68378166718709
El Salvador,"6,365,503",1.8596050864145819,12.054936741189985
Equatorial Guinea,"1,938,431",2.089066494098074,14.451969284717563
Eritrea,"3,607,003",2.3629181770863408,17.312717864836642
Estonia,"1,344,232",5.268384729721746,47.664217714451645
Eswatini,"1,256,174",2.1706211258769486,15.303916932136428
Ethiopia,"135,472,051",2.667441345564071,20.493871299169754
Fiji,"933,154",2.5280117070040946,19.037341486446063
Finland,"5,623,329",6.084622485295856,56.19091718482979
France,"66,650,804",7.831504105780075,74.43944157184423
Gabon,"2,593,130",2.0555677542120763,14.102029961654313
Gambia,"2,822,093",1.9012092433188945,12.489548029652152
Georgia,"3,806,671",3.2397090881848833,26.471976360589366
Germany,"84,075,075",8.802338741374966,84.5811130598646
Ghana,"35,064,272",3.088624044201002,24.893690186344326
Greece,"9,938,844",4.659475893045546,41.30334722084935
Guatemala,"18,687,881",1.4647349076713905,7.929987458992772
Guinea,"15,099,727",1.8568048311571654,12.025684314605599
Guinea-Bissau,"2,249,515",2.160969295606167,15.203090603660394
Haiti,"11,906,095",0.7056187704432006,0.0
Honduras,"11,005,850",1.9912696224828077,13.430349630747987
Hungary,"9,632,287",4.104863544135764,35.50967645590414
Iceland,"398,266",4.082234268603418,35.273283284455005
India,"1,463,865,525",8.857142539157197,85.15361232289587
Indonesia,"285,721,236",5.260180753064617,47.57851616127107
Iran,"92,417,681",2.8349039306305146,22.243242883175775
Iraq,"47,020,774",2.06815093187513,14.233478150104958
Ireland,"5,308,039",5.134921834481611,46.270018548353576
Isle of Man,"84,118",2.731198500944582,21.159900405644304
Israel,"9,517,181",6.596108149041717,61.53407180906091
Italy,"59,146,260",6.109429638820824,56.450061216551475
Ivory Coast,"32,711,547",1.7006814441353488,10.394765881414234
Jamaica,"2,837,077",2.6582680155313456,20.398043548250993
Japan,"123,103,479",7.457139325209976,70.52869870995579
Jordan,"11,520,684",3.440479832313005,28.569296395020494
