COUNTRY,POPULATION,ridge_HG_Normalized_model_pred,ridge_HG_Normalized_index_0_100
Italy,"59,146,260",2.71669764474646,2.973122153491388
Ivory Coast,"32,711,547",-0.008821934131166165,0.25495348720955713
Jamaica,"2,837,077",-0.13718377428472706,0.12693784771253044
Japan,"123,103,479",2.7570924320014796,3.013407993244163
Jordan,"11,520,684",0.14134122802319116,0.40471164905180534
Kazakhstan,"20,843,754",-0.06627446316119867,0.19765591157724743
Kenya,"57,532,493",0.5071893706279202,0.7695730742099003
Kosovo,"1,600,000",-0.028203717472576217,0.2356239778625801
Kuwait,"5,026,078",-0.052921732278452094,0.21097262923213284
Kyrgyzstan,"7,295,034",-0.004290702323292317,0.2594724979755316
Laos,"7,873,046",0.09241680210077985,0.35591917565013254
Latvia,"1,853,559",0.3073107221036031,0.5702335120625275
Lebanon,"5,849,421",-0.036259179379986906,0.22759024208653128
Lesotho,"2,363,325",0.09357153836483811,0.35707079751155946
Liberia,"5,731,206",0.02394366105777057,0.2876307113487132
Libya,"7,458,555",0.05937027648135906,0.32296177876906523
Lithuania,"2,830,144",0.5754545107335851,0.8376540985667202
Luxembourg,"680,453",0.41191710862468356,0.6745577680092257
Madagascar,"32,740,678",-0.001711539055424982,0.2620447050637775
Malawi,"22,216,120",0.04831682595873876,0.31193814015801713
Malaysia,"35,977,838",0.7382831481132703,1.0000435759819177
Maldives,"529,676",0.12106117954812023,0.3844862972536301
Mali,"25,198,821",-0.020800505051238094,0.24300722331400204
Malta,"545,405",0.1460601237707695,0.40941781761501195
Mauritania,"5,315,065",0.006289023009047101,0.27002368906551655
Mauritius,"1,268,280",-0.05862730211777056,0.2052824477046515
Mexico,"131,946,900",0.8260727559020937,1.087596409198041
Micronesia,"113,683",-0.06358219425854394,0.20034091924665287
Moldova,"2,996,106",-0.08416521928907539,0.17981340804149587
Mongolia,"3,517,100",0.002974440464102557,0.2667180461762502
Montenegro,"632,729",0.01457408845710173,0.2782864091257666
Morocco,"38,430,770",0.07177881291694055,0.335336848533746
Mozambique,"35,631,653",0.08438138791282346,0.3479054335234684
