COUNTRY,POPULATION,enet_HG_Normalized_model_pred,enet_HG_Normalized_index_0_100
Kuwait,"5,026,078",-0.07569974965091708,0.2281502593689363
Kyrgyzstan,"7,295,034",-0.013587557369493464,0.29007581950684663
Laos,"7,873,046",0.05994041170427522,0.3633828547836848
Latvia,"1,853,559",0.3385149595336754,0.6411203533465889
Lebanon,"5,849,421",-0.028806714816635992,0.27490239195382793
Lesotho,"2,363,325",0.08507331678184671,0.38844024154874707
Liberia,"5,731,206",-0.004266074790325813,0.2993692932811312
Libya,"7,458,555",0.014121692637449446,0.3177018099067142
Lithuania,"2,830,144",0.5954833178921106,0.8973165838220116
Luxembourg,"680,453",0.4449256924424385,0.7472113476912131
Madagascar,"32,740,678",0.005818623195353645,0.30942368918387625
Malawi,"22,216,120",0.019685302599433463,0.3232487025638546
Malaysia,"35,977,838",0.7066360120663631,1.008135290983263
Maldives,"529,676",0.14793212885680274,0.45111017806794923
Mali,"25,198,821",-0.02140996835208675,0.2822769129808745
Malta,"545,405",0.15944047913881176,0.46258394853555235
Mauritania,"5,315,065",0.03411938097906386,0.3376394100224358
Mauritius,"1,268,280",-0.03703711596867465,0.26669672117037807
Mexico,"131,946,900",0.867720045252934,1.1687353055368555
Micronesia,"113,683",-0.06346968694632915,0.2403435736875146
Moldova,"2,996,106",-0.07864955507396232,0.22520931739908484
Mongolia,"3,517,100",-0.021208286442585322,0.28247798888492526
Montenegro,"632,729",0.005444229785552146,0.3090504207358901
Morocco,"38,430,770",0.039844436401699435,0.34334726303559243
Mozambique,"35,631,653",0.10094215126032524,0.4042613940104589
Myanmar,"54,850,648",0.04752146067567553,0.3510012197049095
Namibia,"3,092,816",-0.0004584331360970584,0.30316549389137876
Nepal,"29,618,118",-0.0257583213205399,0.2779416257633705
Netherlands,"18,346,819",3.8849554197980947,4.176904616162006
New Zealand,"5,251,899",0.9709996161713955,1.271704546277076
Nicaragua,"7,007,502",-0.05387110062300149,0.24991331857610266
Niger,"27,917,831",0.15565692536675657,0.4588117634292074
Nigeria,"237,527,782",0.8105790203483862,1.111765975617926
North Korea,"26,571,036",-0.08859910789291336,0.21528966058446714
North Macedonia,"1,813,791",-0.09345310536619955,0.21045024820180122
Norway,"5,623,071",1.3564814277344381,1.6560280780542205
Oman,"5,494,691",0.14496507086535493,0.4481520353694984
Pakistan,"255,219,554",0.3712183472070807,0.6737254752348488
Panama,"4,571,189",-0.12333993228620432,0.18065322398181413
Papua New Guinea,"10,762,817",-0.2048429302506587,0.09939512285088226
Paraguay,"7,013,078",0.04720053733549823,0.3506812606618964
Peru,"34,576,665",-0.008037187916480226,0.29560951143954933
