COUNTRY,POPULATION,enet_HG_per_100k_model_pred,enet_HG_per_100k_index_0_100
Qatar,"3,115,889",5.1885818820649385,40.991427108686075
Republic of the Congo,"112,832,473",-0.10556786078199565,12.887010152261395
Romania,"18,908,650",2.7664368410507567,28.133276608962465
Russia,"143,997,393",3.8385693585759637,33.82477775053508
Rwanda,"14,569,341",-0.6020849889613005,10.251209301480436
Samoa,"219,306",0.4178747658908679,15.6657471633663
Saudi Arabia,"34,566,328",4.088009330006006,35.14894977119628
Senegal,"18,931,966",-0.02623706726791175,13.308144008819994
Serbia,"6,689,039",2.8108057273332605,28.368812387235543
Seychelles,"132,779",1.4131764602415093,20.94938574069604
Sierra Leone,"8,819,794",-1.7443210078860263,4.187558120876643
Singapore,"5,870,750",9.310808563461173,62.874596847016626
Slovakia,"5,474,881",3.5803733643400455,32.45412368312998
Slovenia,"2,117,072",4.870454120696721,39.30262046641334
Solomon Islands,"838,645",-0.1698008768773276,12.546024053568013
Somalia,"19,654,739",-1.4232826847066908,5.891815713101745
South Africa,"64,747,319",3.8902020277821316,34.098873900895
South Korea,"51,667,029",4.174452396344962,35.60783969637536
South Sudan,"12,188,788",-0.9012713937801471,8.662954364021703
Spain,"47,889,958",3.8548313451367755,33.911105805660895
Sri Lanka,"23,229,470",-1.2392480495275917,6.868778279845382
Sudan,"51,662,147",-1.2413261286460378,6.857746630789335
Suriname,"639,850",-0.5575313371654023,10.48772592224567
Sweden,"10,656,633",6.59402575799132,48.45233823067634
Switzerland,"8,967,407",11.3144554857282,73.51111664189649
Syria,"25,620,427",-0.8003205496955283,9.198859986655537
Taiwan,"23,112,793",3.1063175566466863,29.937560546994664
Tajikistan,"10,786,734",-0.11154392824772597,12.855285720582154
Tanzania,"70,545,865",-0.18207252705400645,12.480879017998372
Thailand,"71,619,863",2.6524261947293657,27.528041982568084
Timor-Leste,"1,418,517",0.22419269722008428,14.63757042502202
Togo,"9,721,608",-0.6428702747139687,10.034697352979425
Tonga,"103,742",0.09869189661138922,13.971339396434763
Trinidad and Tobago,"1,511,155",1.6101550494874062,21.995062321932675
Tunisia,"12,348,573",2.0425772009605265,24.29060986714803
Turkey,"87,685,426",1.5311117662914402,21.575454736872267
Turkmenistan,"7,618,847",1.2434607925173482,20.048436556891332
Uganda,"51,384,894",-0.28378908305902595,11.94090855244835
Ukraine,"38,980,376",0.0018425824059029594,13.457207072910593
United Arab Emirates,"11,346,000",6.783728363920792,49.459389673066255
United Kingdom,"69,551,332",7.061875004799826,50.935953342398655
United States,"347,275,807",11.01466101718351,71.91963374955978
Uruguay,"3,384,688",2.844938419526348,28.550008511228057
Uzbekistan,"37,053,428",1.3739238370984845,20.741010054130786
Vanuatu,"335,169",1.2986619413491662,20.341476266495164
Venezuela,"28,516,896",-1.2183463721290053,6.979736504533348
Vietnam,"101,598,527",2.406136346998017,26.220592645282448
Yemen,"41,773,878",-0.6558312694793962,9.965892876576058
Zambia,"21,913,874",-0.25899291839594074,12.072540973981777
Zimbabwe,"16,950,795",-0.4543590980562686,11.03542399787505
