COUNTRY,POPULATION,ridge_HG_per_100k_model_pred,ridge_HG_per_100k_index_0_100
Moldova,"2,996,106",2.283711901841243,26.723294939494696
Mongolia,"3,517,100",-0.13627788939452845,11.120748764247239
Montenegro,"632,729",2.805179512665764,30.085384526091996
Morocco,"38,430,770",0.8848514171964084,17.704337345770842
Mozambique,"35,631,653",0.3430295398751353,14.21101646884785
Myanmar,"54,850,648",-0.8155253516028576,6.741395623210544
Namibia,"3,092,816",1.0458662547104511,18.74245802144937
Nepal,"29,618,118",-0.8237691942292953,6.688244599306933
Netherlands,"18,346,819",11.04808699850637,83.23037924131597
New Zealand,"5,251,899",8.096539134289094,64.20068663406462
Nicaragua,"7,007,502",-1.3568133761850487,3.2515166872587415
Niger,"27,917,831",-0.30117622009264133,10.057589808677964
Nigeria,"237,527,782",-0.7893390075302551,6.910228419131166
North Korea,"26,571,036",1.0678893070064228,18.884448575133614
North Macedonia,"1,813,791",1.5940515916205402,22.27680641527693
Norway,"5,623,071",9.274609423618678,71.79613028160404
Oman,"5,494,691",4.57733863061469,41.51113291884217
Pakistan,"255,219,554",-1.487354283255168,2.409872421776058
Panama,"4,571,189",1.8703075961113127,24.057928419124554
Papua New Guinea,"10,762,817",0.6076352830744756,15.917025040229113
Paraguay,"7,013,078",1.6744650161715837,22.79526073860147
Peru,"34,576,665",1.4263988118724942,21.1958885341764
Philippines,"116,786,962",1.5705939683459462,22.125566665576784
Poland,"38,140,910",4.636182172559924,41.890518436764864
Portugal,"10,411,834",4.622327702500655,41.80119367613315
Qatar,"3,115,889",6.865067650116288,56.26094624140163
Republic of the Congo,"112,832,473",-0.16163974452542673,10.9572317456206
Romania,"18,908,650",2.341236147855562,27.094174481170935
Russia,"143,997,393",0.9003180256052916,17.804056143241816
Rwanda,"14,569,341",0.002118236156727793,12.013038453736446
Samoa,"219,306",2.1687848283412223,25.982318685146762
Saudi Arabia,"34,566,328",2.77607738667362,29.89775263349694
Senegal,"18,931,966",0.7188937146823657,16.634348238382472
Serbia,"6,689,039",3.3448772699196807,33.56501043555987
Seychelles,"132,779",2.9234870226812952,30.848155672722854
Sierra Leone,"8,819,794",0.1688886725616321,13.08826754937034
Singapore,"5,870,750",10.926308495149318,82.4452293499147
Slovakia,"5,474,881",3.355992618367035,33.63667509217614
Slovenia,"2,117,072",5.108892964139454,44.938255241221
Solomon Islands,"838,645",1.276764073014357,20.231139455105712
Somalia,"19,654,739",-0.9919423702861545,5.603971535689896
South Africa,"64,747,319",1.7851107683951226,23.50863377199811
South Korea,"51,667,029",4.5180389900569935,41.12880676881962
South Sudan,"12,188,788",0.11686014533219025,12.752820886963987
Spain,"47,889,958",3.2576118286130553,33.00237869123557
Sri Lanka,"23,229,470",-0.29783662104519104,10.079121407089396
Sudan,"51,662,147",-0.8319939116122392,6.635216882739496
Suriname,"639,850",0.6278929013249686,16.047633204486058
Sweden,"10,656,633",8.84467150597344,69.02416560768529
Switzerland,"8,967,407",11.08280205330436,83.45419970842019
Syria,"25,620,427",-0.1311159880009236,11.154029402511695
Taiwan,"23,112,793",3.645352469723049,35.50228231845271
Tajikistan,"10,786,734",-0.47525196065644915,8.935260784822756
Tanzania,"70,545,865",0.37466719185409536,14.414995811102044
Thailand,"71,619,863",2.495658341845428,28.089790008532127
Timor-Leste,"1,418,517",2.153593187784833,25.884372704499548
Togo,"9,721,608",0.06381071602879462,12.410792101026798
Tonga,"103,742",1.7609158281333754,23.352640274005502
Trinidad and Tobago,"1,511,155",1.1237230480269702,19.244428821977984
Tunisia,"12,348,573",1.4374871061592178,21.267378762870713
Turkey,"87,685,426",0.2654531197570562,13.71085333535602
Turkmenistan,"7,618,847",1.4943925975755974,21.634268970699157
Uganda,"51,384,894",-0.6824595048289157,7.599319084771361
Ukraine,"38,980,376",0.04192402424677821,12.269680712710596
United Arab Emirates,"11,346,000",7.069637481006078,57.57988165347649
United Kingdom,"69,551,332",9.751696940881997,74.8720854136023
United States,"347,275,807",10.356810314076771,78.77346937014784
Uruguay,"3,384,688",3.607760771885134,35.25991509713376
Uzbekistan,"37,053,428",0.6183826261184939,15.986317033407271
Vanuatu,"335,169",3.2441413101719023,32.91552940503454
Venezuela,"28,516,896",-1.8611308831367057,0.0
Vietnam,"101,598,527",2.09436958324212,25.50253678606354
Yemen,"41,773,878",-0.2781264943073385,10.206199696287586
Zambia,"21,913,874",-0.5996267169055582,8.133371915522643
Zimbabwe,"16,950,795",-0.5627878464184337,8.37088538764593
